run,population,n,delta_ERS_by_true_class,delta_ERS_by_pred_class,FNR,FPR,FNR_FPR_asymmetry_gt_2x,delta_F_by_class,delta_M_by_class,median_within_true_class_delta,n_high_ERS,err_high_ERS,n_low_ERS,err_low_ERS,delta_err_high_minus_low
gram|F48,external STRICT,1200.0,0.030441423137682833,0.009119553962101401,0.5210237659963437,0.16232771822358347,True,-0.0036514893665116066,0.008914297771523305,0.09515062124174278,,,,,
gram|F48,external | within true_class=benign,,,,,,,,,,143.0,0.21678321678321677,211.0,0.12796208530805686,0.08882113147515991
gram|F48,external | within pred_class=benign,,,,,,,,,,243.0,0.5390946502057613,228.0,0.19298245614035087,0.34611219406541044
gram|F48,external | within true_class=phishing,,,,,,,,,,230.0,0.5695652173913044,94.0,0.46808510638297873,0.10148011100832566
gram|F48,external | within pred_class=phishing,,,,,,,,,,130.0,0.23846153846153847,77.0,0.35064935064935066,-0.11218781218781218
gram|F60R,external STRICT,1200.0,0.033559170075640576,0.003955652074416394,0.5100548446069469,0.15773353751914243,True,-0.0032265074649838743,-0.000608290032188985,0.08190671981646383,,,,,
gram|F60R,external | within true_class=benign,,,,,,,,,,119.0,0.21008403361344538,165.0,0.15151515151515152,0.05856888209829386
gram|F60R,external | within pred_class=benign,,,,,,,,,,255.0,0.6313725490196078,195.0,0.28205128205128205,0.34932126696832577
gram|F60R,external | within true_class=phishing,,,,,,,,,,262.0,0.6145038167938931,108.0,0.5092592592592593,0.1052445575346338
gram|F60R,external | within pred_class=phishing,,,,,,,,,,126.0,0.1984126984126984,78.0,0.32051282051282054,-0.12210012210012214
gram|F68R,external STRICT,1200.0,0.03674067016606586,0.00900885996777967,0.47714808043875684,0.17457886676875958,True,0.001124836031352383,-0.0007800538760327491,0.0870152371726532,,,,,
gram|F68R,external | within true_class=benign,,,,,,,,,,91.0,0.24175824175824176,134.0,0.19402985074626866,0.0477283910119731
gram|F68R,external | within pred_class=benign,,,,,,,,,,208.0,0.6682692307692307,143.0,0.24475524475524477,0.42351398601398593
gram|F68R,external | within true_class=phishing,,,,,,,,,,256.0,0.54296875,84.0,0.4166666666666667,0.12630208333333331
gram|F68R,external | within pred_class=phishing,,,,,,,,,,139.0,0.15827338129496402,75.0,0.3466666666666667,-0.18839328537170266
phresh|F48,external STRICT,1200.0,0.011440563270327053,0.026988168833205983,0.28618968386023297,0.39232053422370616,False,0.008823899733476748,-0.007337149856222691,-0.024385423719973653,,,,,
phresh|F48,external | within true_class=benign,,,,,,,,,,188.0,0.5691489361702128,99.0,0.20202020202020202,0.3671287341500108
phresh|F48,external | within pred_class=benign,,,,,,,,,,125.0,0.352,118.0,0.3305084745762712,0.021491525423728786
phresh|F48,external | within true_class=phishing,,,,,,,,,,239.0,0.18410041841004185,65.0,0.6,-0.4158995815899581
phresh|F48,external | within pred_class=phishing,,,,,,,,,,302.0,0.3543046357615894,46.0,0.43478260869565216,-0.08047797293406278
phresh|F60R,external STRICT,1200.0,0.01472082057367119,0.02833062948129783,0.2895174708818636,0.39565943238731216,False,0.008412828600293354,-0.007415907061172344,0.026418080091986984,,,,,
phresh|F60R,external | within true_class=benign,,,,,,,,,,250.0,0.564,142.0,0.24647887323943662,0.3175211267605633
phresh|F60R,external | within pred_class=benign,,,,,,,,,,177.0,0.384180790960452,143.0,0.2517482517482518,0.13243253921220022
phresh|F60R,external | within true_class=phishing,,,,,,,,,,356.0,0.19101123595505617,79.0,0.45569620253164556,-0.26468496657658935
phresh|F60R,external | within pred_class=phishing,,,,,,,,,,429.0,0.32867132867132864,78.0,0.44871794871794873,-0.12004662004662009
phresh|F68R,external STRICT,1200.0,0.011375990406348069,0.028344910636179832,0.2113144758735441,0.4040066777963272,False,0.006812568746423664,-0.012623264869016326,0.07229238954429792,,,,,
phresh|F68R,external | within true_class=benign,,,,,,,,,,88.0,0.7727272727272727,131.0,0.2748091603053435,0.4979181124219292
phresh|F68R,external | within pred_class=benign,,,,,,,,,,27.0,0.25925925925925924,135.0,0.2962962962962963,-0.037037037037037035
phresh|F68R,external | within true_class=phishing,,,,,,,,,,150.0,0.04666666666666667,100.0,0.4,-0.35333333333333333
phresh|F68R,external | within pred_class=phishing,,,,,,,,,,211.0,0.3222748815165877,96.0,0.375,-0.052725118483412325
