feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target
D_body_is_https,binary/count,0.07123172379728786,0.0014340967867702956,0.011200640036573518,0.0037043054427294882,-0.00749633459384403,0.0,0.0,0.0,0.0,0.0,0.0
D_path_token_ratio,continuous,0.10517421549461062,0.028544250307046257,2.3479444487867127,2.3676465929242094,,1.5,2.0,2.6666667461395264,1.600000023841858,2.0,2.75
D_digit_alpha_ratio,continuous,0.1332137948657067,0.010344618382039357,0.15293935095977362,0.11514391511059831,,0.0,0.027027027681469917,0.18965516984462738,0.0,0.0,0.1315789520740509
D_subdomain_binary,binary/count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_has_port_binary,binary/count,0.01929749263391114,0.0001045897772639484,0.0008571918395336877,0.0002924451665312754,-0.0005647466730024123,0.0,0.0,0.0,0.0,0.0,0.0
D_body_scheme_ratio,continuous,0.05679934068461091,0.0,0.0007036760789175375,0.00026193585809680334,,0.0,0.0,0.0,0.0,0.0,0.0
D_host_tld_class,continuous,0.12654101859396014,0.010865798359999637,0.47928453054460257,0.5262388302193338,,0.0,0.0,1.0,0.0,0.0,1.0
D_path_depth_binary,continuous,0.01910979308918104,0.0,0.5257729013086462,0.5162307067424858,,0.0,1.0,1.0,0.0,1.0,1.0
D_host_entropy_norm_z,continuous,0.10991442963124354,0.011791936976824492,-1.9509661854372766e-10,-0.10981555690575817,,-0.6254615187644958,-0.0011185792973265052,0.6034945845603943,-0.8221079707145691,-0.10716983675956726,0.5924186706542969
D_path_token_density,continuous,0.07514831784134979,0.0,0.49979998857077546,0.46222583265637696,,0.0,0.0,1.0,0.0,0.0,1.0
D_digit_run_max,continuous,0.18776070641598103,0.0,0.44936853534487686,0.3559707554833469,,0.0,0.0,1.0,0.0,0.0,1.0
D_brand_tld_match,continuous,0.22183610490218755,0.0,0.04705983199039945,0.09403736799350122,,0.0,0.0,0.0,0.0,0.0,0.0
