Dataset,Evaluation,Direction,Model,Stage,Features,Operating point,Accuracy,ROC-AUC,Precision,Recall,F1,MCC,PR-AUC,Brier,ECE
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,A,F48,A balanced (MCC),0.6709149449959753,0.7225416976231203,0.6540033661937966,0.7284413497589716,0.6892182946914988,0.3439310184457089,0.6834179468478168,0.24839744056947738,0.17585833311128535
GramBeddings,External (principal),PhreshPhish -> GramBeddings,Fusion(alpha=0.30),B,F48,A balanced (MCC),0.7091494499597532,0.7584948828262235,0.6818392940083604,0.7862881628280665,0.7303482587064677,0.42314524187982927,0.6796459172728165,0.22696416186004517,0.1624486032063164
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F48,A balanced (MCC),0.6851354977193453,0.7371709616946283,0.671531041305961,0.72710230316015,0.6982126784106982,0.371449947762678,0.6948756754310251,0.23579115951762347,0.15513677072680931
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F48,B security (val recall>=0.95),0.6570968607459082,0.7371709616946283,0.6017974421016246,0.9325120514193894,0.7315126050420168,0.37569360952742636,0.6948756754310251,0.23579115951762347,0.15513677072680931
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,A,F60-R (61 cols),A balanced (MCC),0.6699758518916018,0.7163966975943236,0.6475903614457831,0.7485270487412962,0.6944099378881987,0.34397813181535136,0.6655042359192667,0.25101532744664934,0.1800899889943224
GramBeddings,External (principal),PhreshPhish -> GramBeddings,CharTFIDF+LR,B,F60-R (61 cols),A balanced (MCC),0.6921116179232627,0.7435823672040132,0.6557022289547717,0.8114622388859132,0.725314183123878,0.3953147140776211,0.6729319330391588,0.2404498712865256,0.18162537857038583
GramBeddings,External (principal),PhreshPhish -> GramBeddings,Fusion(alpha=0.30),B,F60-R (61 cols),A balanced (MCC),0.7048564529111886,0.757119912342842,0.6816674561819043,0.7707552222817354,0.7234791352438411,0.41312408520080185,0.6788139267739128,0.22945004050509304,0.16725152072552693
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F60-R (61 cols),A balanced (MCC),0.6816474376173867,0.7316068991136375,0.6448180463928496,0.8114622388859132,0.7186054784774102,0.37581140196068774,0.6836208108998562,0.23929200209040125,0.1601079428681993
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F60-R (61 cols),B security (val recall>=0.95),0.654547893748323,0.7316068991136375,0.5997933528500086,0.9327798607391538,0.7301121475736296,0.3712404269036319,0.6836208108998562,0.23929200209040125,0.1601079428681993
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,A,F68-R (69 cols),A balanced (MCC),0.6946605849208478,0.7469054345134222,0.6631602506714414,0.7935190144617033,0.7225067056815411,0.39687152345161947,0.7214227009899693,0.23491170987851612,0.16079630441186843
GramBeddings,External (principal),PhreshPhish -> GramBeddings,Fusion(alpha=0.30),B,F68-R (69 cols),A balanced (MCC),0.7076737322243091,0.7625933013114018,0.6738984567210915,0.8069094804499196,0.734430225472273,0.4234972051800961,0.6876710065544241,0.22691683312860783,0.16387876885828886
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F68-R (69 cols),A balanced (MCC),0.7013683928092299,0.7545766237019887,0.6594754653130288,0.8350294590251741,0.7369416213661073,0.4175759577268934,0.7294395361549573,0.22988402884514508,0.15724498440377463
GramBeddings,External (principal),PhreshPhish -> GramBeddings,XGBoost,B,F68-R (69 cols),B security (val recall>=0.95),0.638449154816206,0.7545766237019887,0.5843207271546826,0.96411355115158,0.7276402223345124,0.3640218944318169,0.7294395361549573,0.22988402884514508,0.15724498440377463
GramBeddings,In-domain,GramBeddings,LightGBM,A,F48,A balanced (MCC),0.889985331377517,0.9586161061617815,0.8996985475472732,0.8773383217530732,0.8883777567311595,0.7801989188353028,0.962099549980132,0.08358829157125626,0.01677596533675644
GramBeddings,In-domain,GramBeddings,LightGBM (calibrated),A,F48,A balanced (MCC),0.889985331377517,0.9586161061617815,0.9057023643949931,0.8701229289150187,0.8875562218890555,0.7805527298967027,0.962099549980132,0.07958449596280513,0.011446852372121301
GramBeddings,In-domain,GramBeddings,Fusion(alpha=0.30),B,F48,A balanced (MCC),0.9426590212028271,0.98681968609602,0.9683257918552036,0.9150187065740246,0.9409178345699368,0.8866444531404587,0.9885412916408365,0.04181272119417144,0.00854131475547731
