direction,model,population,n_features,n_train,n_eval,target_information_used,tau,estimated_target_prevalence,true_target_prevalence,n,n_phishing,threshold,accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece,tp,fp,tn,fn
GramBeddings -> PhreshPhish,M0 source-only F60-R,in-domain TEST,61,34998,7499,none,0.32579985141754153,0.15653928937480774,0.4989998666488865,7499,3742,0.32579985141754153,0.8915855447392985,0.9031103770988164,0.8768038482095136,0.906308224647325,0.8897627118644068,0.7834887856889435,0.9604165934616686,0.9638227622946411,0.08232962627947324,0.01998815684245807,3281,352,3405,461
GramBeddings -> PhreshPhish,M0 source-only F60-R,external STRICT,61,34998,11659,none,0.32579985141754153,0.15653928937480774,0.45655716613774766,11659,5323,0.32579985141754153,0.6726134316836778,0.7099832682654769,0.4783017095622769,0.8358585858585859,0.5715568526209451,0.3390896196441941,0.7123085720534292,0.7020338180315643,0.2686674346711666,0.22484078790538586,2546,1040,5296,2777
GramBeddings -> PhreshPhish,M0 source-only F60-R,external STRICT (shift-aware tau),61,34998,11659,none,0.7217105252929057,0.15653928937480774,0.45655716613774766,11659,5323,0.7217105252929057,0.6419933098893559,0.7965926690758905,0.2898741311290626,0.9378156565656566,0.42506887052341596,0.30471003060694435,0.7123085720534292,0.7020338180315643,0.2686674346711666,0.22484078790538586,1543,394,5942,3780
GramBeddings -> PhreshPhish,M0 source-only F60-R,external NATURAL,61,34998,12631,none,0.32579985141754153,0.15653928937480774,0.456970944501623,12631,5772,0.32579985141754153,0.6698598685773098,0.6967092337917485,0.49151074151074153,0.8199445983379502,0.5763917106867127,0.3319509729973309,0.7107765548135865,0.7011175313005065,0.2680130598582905,0.22385394517488588,2837,1235,5624,2935
GramBeddings -> PhreshPhish,M1 domain-pruned F60-R,in-domain TEST,60,34998,7499,target TRAIN features only,0.3287305223941803,0.15411496284829965,0.4989998666488865,7499,3742,0.3287305223941803,0.8917188958527804,0.9049198452183527,0.874933190807055,0.9084375831780676,0.8896739130434783,0.783851423419603,0.9604179805037367,0.9638505733010666,0.08230692602644878,0.018756485817350118,3274,344,3413,468
GramBeddings -> PhreshPhish,M1 domain-pruned F60-R,external STRICT,60,34998,11659,target TRAIN features only,0.3287305223941803,0.15411496284829965,0.45655716613774766,11659,5323,0.3287305223941803,0.666952568830946,0.7061855670103093,0.4632725906443735,0.8380681818181818,0.5595008508224617,0.3276991533111119,0.7172012932964816,0.704957685806407,0.2681818836447321,0.22505813853953777,2466,1026,5310,2857
GramBeddings -> PhreshPhish,M1 domain-pruned F60-R,external STRICT (shift-aware tau),60,34998,11659,target TRAIN features only,0.7280501111349642,0.15411496284829965,0.45655716613774766,11659,5323,0.7280501111349642,0.6434514109271807,0.8114316239316239,0.28536539545369155,0.9442866161616161,0.42223766504517024,0.3115863005958382,0.7172012932964816,0.704957685806407,0.2681818836447321,0.22505813853953777,1519,353,5983,3804
GramBeddings -> PhreshPhish,M1 domain-pruned F60-R,external NATURAL,60,34998,12631,target TRAIN features only,0.3287305223941803,0.15411496284829965,0.456970944501623,12631,5772,0.3287305223941803,0.6655055023355237,0.6952789699570815,0.47713097713097713,0.82402682606794,0.5659097914312134,0.3233521204056166,0.7150171931663403,0.7033053794305758,0.26789863146482623,0.2249487575911796,2754,1207,5652,3018
GramBeddings -> PhreshPhish,M2 multi-source F60-R+ds,in-domain TEST,62,65773,7499,target TRAIN labels (multi-source),0.35041895627975467,0.40453134378961003,0.4989998666488865,7499,3742,0.35041895627975467,0.8918522469662622,0.908558684137162,0.8709246392303581,0.9126963002395528,0.8893437030972847,0.784356337897463,0.9594312956808079,0.9630354470646428,0.08306214470737684,0.01280781172082369,3259,328,3429,483
GramBeddings -> PhreshPhish,M2 multi-source F60-R+ds,external STRICT,62,65773,11659,target TRAIN labels (multi-source),0.35041895627975467,0.40453134378961003,0.45655716613774766,11659,5323,0.35041895627975467,0.9194613603224976,0.9038319823139278,0.9216607176404283,0.9176136363636364,0.9126592875081387,0.838090609720282,0.971843025169979,0.9691025466571648,0.0634958616913685,0.019520271113734246,4906,522,5814,417
