run,score,AURC,dAURC_vs_C,ci_low,ci_high,p_boot,n_ext,estimated_target_prior
gram|F48,C (confidence),0.2441268990452532,0.0,0.0,0.0,1.0,1200,
gram|F48,DTS_2f (revision-5),0.2580421431635134,0.013915244118260228,0.003602861710734465,0.022887119037603286,0.005,1200,
gram|F48,DTS_stratum (revision-6),0.2733890679830997,0.0292621689378465,0.018387066877404455,0.039992643814086286,0.0025,1200,
gram|F48,DTS_prior_corrected (revision-6),0.260670670884667,0.0165437718394138,0.005267154961542534,0.02704698414597583,0.005,1200,0.999999
gram|F60R,C (confidence),0.24482452986958636,0.0,0.0,0.0,1.0,1200,
gram|F60R,DTS_2f (revision-5),0.2612892044726997,0.01646467460311335,0.004550636623526003,0.025945830763128726,0.0025,1200,
gram|F60R,DTS_stratum (revision-6),0.25525043603395375,0.010425906164367393,0.0016242752390177178,0.019859699774489984,0.025,1200,
gram|F60R,DTS_prior_corrected (revision-6),0.2631780741639762,0.018353544294389845,0.007968695291843228,0.028411136694336325,0.005,1200,0.999999
gram|F68R,C (confidence),0.20188587962453336,0.0,0.0,0.0,1.0,1200,
gram|F68R,DTS_2f (revision-5),0.2379098996769062,0.036024020052372846,0.028209739380078376,0.043787816904815285,0.0025,1200,
gram|F68R,DTS_stratum (revision-6),0.24935855061511003,0.04747267099057667,0.03772386840131816,0.056994885614856085,0.0025,1200,
gram|F68R,DTS_prior_corrected (revision-6),0.236645745818502,0.03475986619396865,0.02776352858272349,0.042026457341681346,0.0025,1200,0.999999
phresh|F48,C (confidence),0.2706485147709242,0.0,0.0,0.0,1.0,1200,
phresh|F48,DTS_2f (revision-5),0.28161963982816524,0.010971125057241016,0.0030690064956213877,0.01757962301319848,0.0025,1200,
phresh|F48,DTS_stratum (revision-6),0.2832744807643769,0.01262596599345267,0.003677296866517185,0.020872949869636205,0.005,1200,
phresh|F48,DTS_prior_corrected (revision-6),0.2783357636748034,0.007687248903879174,-0.0005637965963194607,0.014834431117814777,0.07,1200,0.999999
phresh|F60R,C (confidence),0.2950200634102227,0.0,0.0,0.0,1.0,1200,
phresh|F60R,DTS_2f (revision-5),0.2989570555151346,0.003936992104911885,-0.004399041830451145,0.01100723677328053,0.305,1200,
phresh|F60R,DTS_stratum (revision-6),0.29785899320816545,0.0028389297979427575,-0.006302041842542863,0.010662406891241245,0.44,1200,
phresh|F60R,DTS_prior_corrected (revision-6),0.29707295098401604,0.0020528875737933494,-0.0059536659730829895,0.00936956170948097,0.735,1200,0.999999
phresh|F68R,C (confidence),0.25149995917919266,0.0,0.0,0.0,1.0,1200,
phresh|F68R,DTS_2f (revision-5),0.2654130230428152,0.013913063863622566,0.008396245811333908,0.019421348155732914,0.0025,1200,
phresh|F68R,DTS_stratum (revision-6),0.25749680374436773,0.005996844565175075,0.0009106101809992456,0.01031344358435762,0.02,1200,
phresh|F68R,DTS_prior_corrected (revision-6),0.2656399900516153,0.01414003087242266,0.008901879272232103,0.019425081644770182,0.0025,1200,0.999999
